"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009738","GO:0009738","abscisic acid-activated signaling pathway","5/61","202/21826",0.00025243480551872,0.029182978536911,0.0226599475968867,"PYL9/ATBT2/PYL7/ABI1/HAI1",5
"GO:0071395","GO:0071395","cellular response to jasmonic acid stimulus","4/61","111/21826",0.000264481649441064,0.029182978536911,0.0226599475968867,"JAZ8/ATP8/AP4.3A/ANAC055",4
"GO:0009753","GO:0009753","response to jasmonic acid","5/61","205/21826",0.000270212764230658,0.029182978536911,0.0226599475968867,"JAZ8/ATP8/AP4.3A/ANAC055/ATBT2",5
"GO:0097306","GO:0097306","cellular response to alcohol","5/61","234/21826",0.00049529519024728,0.0320951283280237,0.0249211685198105,"PYL9/ATBT2/PYL7/ABI1/HAI1",5
"GO:0043649","GO:0043649","dicarboxylic acid catabolic process","2/61","14/21826",0.000684231069745936,0.0338488231337529,0.0262828743631155,"AAE3/GDH2",2
"GO:0009414","GO:0009414","response to water deprivation","6/61","397/21826",0.000832778248078642,0.0338488231337529,0.0262828743631155,"ATP8/LEA7/ANAC055/RD19/AtLEA4-5/HAI1",6
"GO:0080163","GO:0080163","regulation of protein serine/threonine phosphatase activity","2/61","16/21826",0.000899041089636563,0.0338488231337529,0.0262828743631155,"PYL9/PYL7",2
"GO:0009415","GO:0009415","response to water","6/61","407/21826",0.000947119194270487,0.0338488231337529,0.0262828743631155,"ATP8/LEA7/ANAC055/RD19/AtLEA4-5/HAI1",6
"GO:0000302","GO:0000302","response to reactive oxygen species","4/61","162/21826",0.00109819242841756,0.0338488231337529,0.0262828743631155,"ATP8/ASG6/ATBT2/BT1",4
"GO:0006470","GO:0006470","protein dephosphorylation","4/61","164/21826",0.00114918843972618,0.0338488231337529,0.0262828743631155,"PYL9/PYL7/ABI1/HAI1",4
"GO:0009751","GO:0009751","response to salicylic acid","4/61","170/21826",0.00131213017597082,0.0343903374680286,0.0267033484563315,"AP4.3A/Rem1.3/ATBT2/BT1",4
"GO:0001101","GO:0001101","response to acid chemical","6/61","438/21826",0.00137985921939621,0.0343903374680286,0.0267033484563315,"ATP8/LEA7/ANAC055/RD19/AtLEA4-5/HAI1",6
"GO:0006979","GO:0006979","response to oxidative stress","6/61","467/21826",0.00190860503149987,0.0440265617831758,0.0341856668816732,"ATP8/ASG6/NA/ATBT2/DIN10/BT1",6
